[Tue  7 Jun 20:03:42 CEST 2022] FRAME_COUNT = 300, ITERATION = 2, INDEX = 14 --- 144939
[Tue  7 Jun 20:03:42 CEST 2022] FRAME_COUNT = 300, ITERATION = 2, INDEX = 15 --- 144939
[Tue  7 Jun 20:03:53 CEST 2022] FRAME_COUNT = 300, ITERATION = 2, INDEX = 16 --- 144939
[Tue  7 Jun 20:03:54 CEST 2022] FRAME_COUNT = 300, ITERATION = 2, INDEX = 17 --- 144939
[Tue  7 Jun 20:03:54 CEST 2022] FRAME_COUNT = 300, ITERATION = 2, INDEX = 18 --- 144939
[Tue  7 Jun 20:03:59 CEST 2022] FRAME_COUNT = 300, ITERATION = 2, INDEX = 19 --- 144939
[Tue  7 Jun 20:03:59 CEST 2022] FRAME_COUNT = 300, ITERATION = 2, INDEX = 20 --- 144939
[Tue  7 Jun 20:03:59 CEST 2022] FRAME_COUNT = 300, ITERATION = 2, INDEX = 21 --- 144939
[Tue  7 Jun 20:04:00 CEST 2022] FRAME_COUNT = 300, ITERATION = 2, INDEX = 22 --- 144939
[Tue  7 Jun 20:04:00 CEST 2022] FRAME_COUNT = 300, ITERATION = 2, INDEX = 23 --- 144939
[Tue  7 Jun 20:04:01 CEST 2022] FRAME_COUNT = 300, ITERATION = 2, INDEX = 24 --- 144939
[Tue  7 Jun 20:04:01 CEST 2022] FRAME_COUNT = 300, ITERATION = 2, INDEX = 25 --- 144939
[Tue  7 Jun 20:04:01 CEST 2022] FRAME_COUNT = 300, ITERATION = 2, INDEX = 26 --- 144939
[Tue  7 Jun 20:04:02 CEST 2022] FRAME_COUNT = 300, ITERATION = 2, INDEX = 27 --- 144939
[Tue  7 Jun 20:04:02 CEST 2022] FRAME_COUNT = 300, ITERATION = 2, INDEX = 28 --- 144939
[Tue  7 Jun 20:04:07 CEST 2022] FRAME_COUNT = 300, ITERATION = 2, INDEX = 29 --- 144939
[Tue  7 Jun 20:04:07 CEST 2022] FRAME_COUNT = 300, ITERATION = 2, INDEX = 30 --- 144939
[Tue  7 Jun 20:04:07 CEST 2022] FRAME_COUNT = 300, ITERATION = 2, INDEX = 31 --- 144939
